"gap_id","priority","area","count","description","source","next_action"
"object-name-description-link","alta","objects","2994","Registros con icono pero sin ficha textual visible completa.","object-search-database.csv / item-text-strings.csv","Relacionar Ã­ndices de TextAssets, goods IDs y nombres traducidos."
"object-source-param-link","alta","objects","249","Fuentes internas detectadas; la relaciÃ³n type/param no siempre identifica un objeto Ãºnico.","item-source-database.csv","Resolver parÃ¡metros contra goods, objetos y tablas de actividad."
"dungeon-icon-scene-link","alta","dungeons","619","Los iconos de dungeon estÃ¡n catalogados, pero falta unir de forma segura icono, escena, capÃ­tulo, requisitos, objetivos y recompensas.","dungeons.csv / dungeon-boss-monster-evidence.csv","Extraer tablas de escena y contrastarlas con el menÃº del juego."
"lua-bytecode-fields","alta","mechanics","19225","TextAssets del cliente; algunos campos estÃ¡n serializados como bytecode Lua y no exponen directamente todas las relaciones.","text-assets-index.csv","Decodificar estructuras o contrastar con capturas del juego."
"zodiac-master-catalog","media","zodiac","1","El CSV zodiac.csv existente estÃ¡ vacÃ­o, aunque hay configuraciones, iconos y Glyph extraÃ­dos.","zodiac.csv / zodiac-icons.csv / configs godRune","Construir el catÃ¡logo Zodiac/Glyph desde las configuraciones internas."
"model-class-item-link","media","models","102","Modelos 3D extraÃ­dos sin asociaciÃ³n segura con clase, gÃ©nero, objeto o outfit.","model-catalog-full.csv","Relacionar model_id/surface_id con fichas y probarlo en juego."
"ldstore-semantic-diff","media","versions","1128","La versiÃ³n Google Play y la versiÃ³n LDStore se conservan separadas; existen recursos semÃ¡nticamente distintos aÃºn no fusionados.","juego-extraido / juego-extraido-ldstore","Generar diff por bundle, asset y texto antes de consolidar."
"server-runtime-data","alta","runtime","1","Recompensas, disponibilidad por servidor, cuentas y eventos dinÃ¡micos no se garantizan desde el cliente extraÃ­do.","cliente extraÃ­do","Registrar solo lo observable en el juego y marcar la fecha/servidor."
"monster-id-name-link","alta","monsters","765","Hay nombres de monstruos/bosses sin correspondencia inequÃ­voca con monster_id en el catÃ¡logo cliente.","monster-name-unique.csv / monster-client-catalog.csv","Resolver con claves de escena, dungeonTarget o captura del menÃº."
"zodiac-glyph-values","media","zodiac","180","Se localizaron nombres, iconos y claves Glyph/Transform, pero no todos los valores, huecos y compatibilidades estÃ¡n serializados de forma legible.","zodiac-glyph-transfigure-evidence.csv / transform-glyph-evidence.csv / zodiac-icons.csv","Unir con fichas visuales y capturas de cada pantalla."
"boss-resistance-values","alta","bosses","8","Aparecen campos isweak/resist/def, pero sus valores completos estÃ¡n serializados o requieren interpretar tablas LuaJIT.","boss-weakness-status.csv / monster-client-catalog.csv","Decodificar tablas o capturar estadÃ­sticas de boss."
